Pos |Antal|Värde   |Artikelnummer       |Komponenttyp             |Beskrivning              |KompID
123 |10   |4.7K    |RES0805             |RES0805                  |                         |R19,R21,R25,R26,R248,R249,R250,R255,R296,R326
124 |10   |4700p   |HS9001/../.../0     |HS9001                   |EMI-filter               |C2,C4,C7,C14,C29,C37,C39,C44,C60,C61
125 |10   |        |TP                  |TP                       |                         |TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10
126 |15   |51      |RES0805             |RES0805                  |                         |R107,R219,R220,R254,R261,R270,R297,R300,R302,R322,R325,R327,R328,R333,R336
127 |15   |BLM31P500|LF9502/../0         |LF9502                   |inductor                 |L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
128 |15   |10u     |CE9002/../../.      |CE9002_B                 |                         |C5,C6,C8,C11,C12,C13,C16,C17,C20,C22,C23,C25,C128,C129,C130
129 |17   |100p    |CAP0805             |CAP0805                  |                         |C1,C9,C10,C135,C136,C139,C298,C300,C307,C308,C319,C321,C322,C327,C333,C334,C337
130 |19   |130     |RES0805             |RES0805                  |                         |R60,R62,R63,R64,R69,R74,R75,R82,R83,R84,R104,R105,R106,R196,R201,R214,R221,R222,R247
131 |19   |0.1u    |CK9001/.././0       |CK9001_0805              |                         |CC5,CC6,C131,C132,CC10,CC11,CC12,CC13,CC14,CC15,CC19,CC20,CC22,CC23,CC24,CC25,CC26,CC27,CC28
132 |20   |999M    |RES0805             |RES0805                  |                         |R11,R61,R65,R66,R77,R79,R87,R93,R113,R114,R115,R116,R117,R118,R119,R120,R121,R301,R339,R340
133 |30   |22      |RES0603             |RES0603                  |                         |R67,R68,R70,R71,R72,R73,R76,R78,R80,R81,R85,R86,R88,R89,R90,R91,R92,R94,R95,R96,R97,R98,R99,R100,R101,R102,R103,R110,R111,R112
134 |34   |22      |RES0805             |RES0805                  |                         |R13,R20,R22,R23,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R123,R188,R189,R190,R191,R335,R338
135 |36   |22      |RM9600/../.../0     |RM9600                   |                         |R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R122,R124,R133,R134,R144,R145,R146,R147,R148,R149,R150,R151,R159,R160,R161,R162,R163,R164,R192,R193,R194,R195,R204,R206,R208,R210
136 |41   |999M    |RES0603             |RES0603                  |                         |R125,R126,R127,R128,R129,R130,R131,R132,R135,R136,R137,R140,R141,R142,R152,R153,R154,R155,R156,R157,R158,R165,R166,R167,R170,R171,R173,R174,R175,R176,R177,R178,R179,R180,R181,R182,R183,R184,R185,R186,R187
137 |94   |51      |RES0603             |RES0603                  |                         |R202,R203,R205,R207,R209,R211,R212,R213,R215,R216,R217,R218,R223,R224,R225,R226,R227,R228,R229,R230,R231,R232,R233,R234,R235,R236,R237,R238,R239,R240,R241,R242,R243,R244,R245,R246,R251,R252,R253,R256,R257,R258,R259,R260,R262,R263,R264,R265,R266,R267,R268,R269,R271,R272,R273,R274,R275,R276,R277,R278,R279,R280,R281,R282,R284,R285,R286,R287,R288,R289,R290,R291,R292,R293,R294,R295,R303,R304,R305,R306,R307,R308,R309,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R320
138 |96   |100n    |CAP0805             |CAP0805                  |                         |C15,C30,C31,C71,C133,C134,C137,C138,C140,C188,C189,C195,C196,C198,C199,C203,C207,C208,C209,C213,C221,C225,C226,C227,C228,C229,C230,C233,C234,C235,C236,C237,C238,C239,C242,C243,C244,C245,C246,C247,C248,C249,C254,C256,C262,C263,C264,C265,C266,C267,C268,C269,C274,C278,C279,C282,C283,C284,C285,C286,C287,C288,C289,C293,C294,C299,C301,C302,C303,C306,C309,C310,C313,C314,C316,C317,C318,C320,C323,C324,C325,C326,C328,C329,C330,C335,C336,C338,C339,C340,C341,C342,C343,C344,C345,C348
139 |184  |47n     |CAP0805             |CAP0805                  |                         |C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C56,C57,C58,C59,C62,C63,C64,C65,C66,C67,C68,C69,C70,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C94,C95,C96,C97,C98,C99,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,C151,C152,C153,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C164,C165,C166,C167,C168,C169,C170,C171,C172,C173,C174,C175,C176,C177,C178,C179,C180,C181,C182,C183,C184,C185,C186,C187,C190,C191,C192,C193,C194,C197,C200,C201,C202,C204,C205,C210,C211,C212,C215,C216,C217,C218,C219,C220,C223,C224,C231,C232,C240,C241,C250,C251,C252,C253,C255,C257,C258,C259,C260,C261,C270,C271,C272,C273,C275,C276,C277,C280,C281,C290,C291,C292,C295,C296,C297,C304,C305,C311,C312,C315,C331,C332,C346,C347
